|dates|Ford_Kansas_UnitedStates.BLS_EmployedPopulation.data|Ford_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Ford_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Ford_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Ford_Kansas_UnitedStates.BLS_UnemploymentRate.data|Ford_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Ford_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Ford_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-02|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-03|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-04|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-05|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-06|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-07|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-08|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-09|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-10|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-11|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-12|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-13|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-14|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-15|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-16|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-17|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-18|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-19|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-20|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-21|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-22|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-23|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-24|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-25|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-26|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-27|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-28|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-29|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-30|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-01-31|16574.5|0|419.0|0|2.4656486303586664|0|16993.5|0
0|2020-02-01|16743.0|0|411.0|0|2.3959426372857644|0|17154.0|0
