|dates|Woodson_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Woodson_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Woodson_Kansas_UnitedStates.Male_Total_Population.data|Woodson_Kansas_UnitedStates.Male_Total_Population.missing|Woodson_Kansas_UnitedStates.Female_Total_Population.data|Woodson_Kansas_UnitedStates.Female_Total_Population.missing|Woodson_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Woodson_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-02|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-03|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-04|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-05|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-06|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-07|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-08|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-09|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-10|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-11|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-12|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-13|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-14|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-15|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-16|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-17|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-18|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-19|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-20|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-21|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-22|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-23|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-24|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-25|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-26|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-27|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-28|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-29|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-30|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-01-31|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-01|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-02|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-03|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-04|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-05|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-06|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-07|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-08|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-09|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-10|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-11|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-12|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-13|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-14|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-15|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-16|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-17|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-18|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-19|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-20|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-21|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-22|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-23|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-24|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-25|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-26|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-27|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-28|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-02-29|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-01|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-02|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-03|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-04|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-05|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-06|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-07|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-08|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-09|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-10|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-11|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-12|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-13|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-14|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-15|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-16|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-17|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-18|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-19|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-20|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-21|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-22|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-23|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-24|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-25|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-26|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-27|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-28|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-29|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-30|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-03-31|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-04-01|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-04-02|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-04-03|773.0|0|1601.0|0|1582.0|0|672.0|0
0|2020-04-04|773.0|0|1601.0|0|1582.0|0|672.0|0
