|dates|Shackelford_Texas_UnitedStates.BLS_EmployedPopulation.data|Shackelford_Texas_UnitedStates.BLS_EmployedPopulation.missing|Shackelford_Texas_UnitedStates.BLS_UnemployedPopulation.data|Shackelford_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Shackelford_Texas_UnitedStates.BLS_UnemploymentRate.data|Shackelford_Texas_UnitedStates.BLS_UnemploymentRate.missing|Shackelford_Texas_UnitedStates.BLS_LaborForcePopulation.data|Shackelford_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-02|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-03|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-04|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-05|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-06|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-07|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-08|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-09|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-10|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-11|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-12|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-13|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-14|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-15|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-16|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-17|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-18|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-19|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-20|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-21|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-22|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-23|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-24|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-25|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-26|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-27|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-28|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-29|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-30|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-01-31|1801.5|0|51.5|0|2.7792768483540207|0|1853.0|0
0|2020-02-01|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-02|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-03|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-04|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-05|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-06|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-07|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-08|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-09|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-10|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
0|2020-02-11|1835.5|0|46.0|0|2.444857826202498|0|1881.5|0
