|dates|Alpena_Michigan_UnitedStates.BLS_EmployedPopulation.data|Alpena_Michigan_UnitedStates.BLS_EmployedPopulation.missing|Alpena_Michigan_UnitedStates.BLS_UnemployedPopulation.data|Alpena_Michigan_UnitedStates.BLS_UnemployedPopulation.missing|Alpena_Michigan_UnitedStates.BLS_UnemploymentRate.data|Alpena_Michigan_UnitedStates.BLS_UnemploymentRate.missing|Alpena_Michigan_UnitedStates.BLS_LaborForcePopulation.data|Alpena_Michigan_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-02|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-03|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-04|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-05|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-06|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-07|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-08|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-09|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-10|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-11|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-12|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-13|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-14|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-15|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-16|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-17|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-18|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-19|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-20|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-21|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-22|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-23|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
0|2020-01-24|12668.0|0|684.0|0|5.12282804074296|0|13352.0|0
