|dates|Erie_Ohio_UnitedStates.BLS_EmployedPopulation.data|Erie_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Erie_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Erie_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Erie_Ohio_UnitedStates.BLS_UnemploymentRate.data|Erie_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Erie_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Erie_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-02|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-03|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-04|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-05|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-06|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-07|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-08|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-09|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-10|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-11|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-12|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-13|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-14|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-15|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-16|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-17|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-18|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-19|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-20|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-21|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-22|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-23|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-24|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
0|2020-01-25|33404.5|0|2480.5|0|6.912358924341647|0|35885.0|0
