|dates|Bethel_Alaska_UnitedStates.BLS_EmployedPopulation.data|Bethel_Alaska_UnitedStates.BLS_EmployedPopulation.missing|Bethel_Alaska_UnitedStates.BLS_UnemployedPopulation.data|Bethel_Alaska_UnitedStates.BLS_UnemployedPopulation.missing|Bethel_Alaska_UnitedStates.BLS_UnemploymentRate.data|Bethel_Alaska_UnitedStates.BLS_UnemploymentRate.missing|Bethel_Alaska_UnitedStates.BLS_LaborForcePopulation.data|Bethel_Alaska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-02|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-03|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-04|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-05|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-06|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-07|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-08|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-09|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-10|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-11|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-12|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-13|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-14|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-15|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-16|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-17|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-18|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-19|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-20|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-21|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-22|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-23|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-24|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-25|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-26|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-27|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
0|2020-01-28|6293.0|0|813.0|0|11.441035744441317|0|7106.0|0
