|dates|Washington_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Washington_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Washington_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Washington_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Washington_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Washington_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Washington_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Washington_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-02|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-03|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-04|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-05|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-06|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-07|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-08|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-09|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-10|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-11|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-12|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-13|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-14|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-15|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-16|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-17|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-18|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-19|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-20|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-21|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-22|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-23|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-24|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-25|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-26|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-27|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
0|2020-01-28|4157.5|0|293.5|0|6.594023814873062|0|4451.0|0
