|dates|Cass_Minnesota_UnitedStates.BLS_EmployedPopulation.data|Cass_Minnesota_UnitedStates.BLS_EmployedPopulation.missing|Cass_Minnesota_UnitedStates.BLS_UnemployedPopulation.data|Cass_Minnesota_UnitedStates.BLS_UnemployedPopulation.missing|Cass_Minnesota_UnitedStates.BLS_UnemploymentRate.data|Cass_Minnesota_UnitedStates.BLS_UnemploymentRate.missing|Cass_Minnesota_UnitedStates.BLS_LaborForcePopulation.data|Cass_Minnesota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-02|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-03|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-04|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-05|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-06|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-07|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-08|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-09|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-10|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-11|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-12|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-13|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-14|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-15|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-16|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-17|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-18|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-19|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-20|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-21|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-22|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-23|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-24|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-25|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-26|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
0|2020-01-27|12859.0|0|1181.0|0|8.41168091168091|0|14040.0|0
