|dates|Lafayette_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Lafayette_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Lafayette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Lafayette_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Lafayette_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Lafayette_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Lafayette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Lafayette_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-02|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-03|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-04|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-05|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-06|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-07|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-08|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-09|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-10|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-11|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-12|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-13|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-14|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-15|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-16|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-17|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
0|2020-01-18|9674.0|0|340.0|0|3.395246654683443|0|10014.0|0
