|dates|Butte_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Butte_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Butte_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Butte_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Butte_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Butte_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Butte_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Butte_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-02|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-03|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-04|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-05|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-06|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-07|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-08|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-09|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-10|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-11|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-12|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-13|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-14|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-15|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-16|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-17|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-18|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-19|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-20|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-21|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-22|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-23|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-24|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-25|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
0|2020-01-26|4768.5|0|186.5|0|3.763874873864783|0|4955.0|0
