|dates|Delaware_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Delaware_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Delaware_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Delaware_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Delaware_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Delaware_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Delaware_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Delaware_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-02|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-03|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-04|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-05|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-06|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-07|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-08|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-09|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-10|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-11|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-12|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-13|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-14|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-15|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-16|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-17|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-18|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-19|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-20|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
0|2020-01-21|287905.0|0|13222.5|0|4.390997168973276|0|301127.5|0
