|dates|Stone_Missouri_UnitedStates.BLS_EmployedPopulation.data|Stone_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Stone_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Stone_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Stone_Missouri_UnitedStates.BLS_UnemploymentRate.data|Stone_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Stone_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Stone_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-02|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-03|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-04|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-05|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-06|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-07|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-08|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-09|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-10|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-11|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-12|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-13|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-14|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-15|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-16|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-17|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-18|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
0|2020-01-19|11898.0|0|1356.5|0|10.234260062620242|0|13254.5|0
