|dates|Tolland_Connecticut_UnitedStates.BLS_EmployedPopulation.data|Tolland_Connecticut_UnitedStates.BLS_EmployedPopulation.missing|Tolland_Connecticut_UnitedStates.BLS_UnemployedPopulation.data|Tolland_Connecticut_UnitedStates.BLS_UnemployedPopulation.missing|Tolland_Connecticut_UnitedStates.BLS_UnemploymentRate.data|Tolland_Connecticut_UnitedStates.BLS_UnemploymentRate.missing|Tolland_Connecticut_UnitedStates.BLS_LaborForcePopulation.data|Tolland_Connecticut_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-02|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-03|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-04|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-05|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-06|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-07|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-08|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-09|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-10|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-11|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-12|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-13|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-14|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-15|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-16|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-17|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-18|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-19|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-20|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-21|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-22|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-23|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-24|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-25|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-26|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-27|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-28|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-29|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-30|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-01-31|84177.0|0|3461.5|0|3.9497481129868723|0|87638.5|0
0|2020-02-01|84400.5|0|3309.5|0|3.773229962376012|0|87710.0|0
0|2020-02-02|84400.5|0|3309.5|0|3.773229962376012|0|87710.0|0
0|2020-02-03|84400.5|0|3309.5|0|3.773229962376012|0|87710.0|0
