|dates|Coshocton_Ohio_UnitedStates.BLS_EmployedPopulation.data|Coshocton_Ohio_UnitedStates.BLS_EmployedPopulation.missing|Coshocton_Ohio_UnitedStates.BLS_UnemployedPopulation.data|Coshocton_Ohio_UnitedStates.BLS_UnemployedPopulation.missing|Coshocton_Ohio_UnitedStates.BLS_UnemploymentRate.data|Coshocton_Ohio_UnitedStates.BLS_UnemploymentRate.missing|Coshocton_Ohio_UnitedStates.BLS_LaborForcePopulation.data|Coshocton_Ohio_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-02|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-03|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-04|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-05|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-06|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-07|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-08|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-09|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-10|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-11|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-12|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-13|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-14|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-15|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-16|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-17|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-18|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-19|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-20|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-21|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-22|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-23|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-24|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-25|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-26|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-27|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-28|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-29|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-30|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-01-31|13100.5|0|1069.5|0|7.5476358503881436|0|14170.0|0
0|2020-02-01|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-02|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-03|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-04|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-05|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-06|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-07|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-08|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-09|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-10|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-11|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-12|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-13|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-14|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-15|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-16|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-17|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-18|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-19|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-20|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-21|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-22|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-23|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-24|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-25|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-26|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-27|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-28|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
0|2020-02-29|13284.5|0|1004.5|0|7.029883126880818|0|14289.0|0
