|dates|Marquette_Michigan_UnitedStates.AveragePrecipitationTotal.data|Marquette_Michigan_UnitedStates.AveragePrecipitationTotal.missing|Marquette_Michigan_UnitedStates.AveragePrecipitation.data|Marquette_Michigan_UnitedStates.AveragePrecipitation.missing|Marquette_Michigan_UnitedStates.AverageWindDirection.data|Marquette_Michigan_UnitedStates.AverageWindDirection.missing|Marquette_Michigan_UnitedStates.AverageWindSpeed.data|Marquette_Michigan_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|183.50694444444446|0|8.489583333333334|0
0|2020-01-02|0.0|0|0.0|0|225.1215277777778|0|8.14236111111111|0
0|2020-01-03|0.0|0|0.0|0|280.69444444444446|0|7.9618055555555545|0
0|2020-01-04|0.0|0|0.0|0|285.55555555555554|0|7.454861111111111|0
0|2020-01-05|0.0|0|0.0|0|221.97916666666666|0|12.180555555555555|0
0|2020-01-06|0.0|0|0.0|0|265.4513888888889|0|12.390624999999998|0
0|2020-01-07|0.0|0|0.0|0|267.22222222222223|0|12.560763888888891|0
0|2020-01-08|0.0|0|0.0|0|244.16666666666666|0|10.496527777777779|0
0|2020-01-09|0.0|0|0.0|0|173.50694444444443|0|14.048611111111112|0
0|2020-01-10|0.0|0|0.0|0|214.4965277777778|0|6.003472222222221|0
0|2020-01-11|0.0|0|0.0|0|117.62152777777779|0|19.847222222222225|0
0|2020-01-12|0.0|0|0.0|0|52.25694444444445|0|6.5069444444444455|0
0|2020-01-13|0.0|0|0.0|0|82.15277777777777|0|3.2256944444444446|0
0|2020-01-14|0.0|0|0.0|0|220.72916666666666|0|10.954861111111109|0
0|2020-01-15|0.0|0|0.0|0|243.4201388888889|0|4.392361111111111|0
0|2020-01-16|0.0|0|0.0|0|305.90277777777777|0|13.664930555555555|0
0|2020-01-17|0.0|0|0.0|0|146.80555555555554|0|6.9600694444444455|0
0|2020-01-18|0.0|0|0.0|0|198.47222222222226|0|8.79513888888889|0
0|2020-01-19|0.0|0|0.0|0|182.70833333333334|0|15.440972222222223|0
0|2020-01-20|0.0|0|0.0|0|223.7152777777778|0|4.402777777777778|0
0|2020-01-21|0.0|0|0.0|0|212.98611111111111|0|12.350694444444445|0
0|2020-01-22|0.0|0|0.0|0|203.26388888888889|0|15.454861111111112|0
0|2020-01-23|0.0|0|0.0|0|104.375|0|4.050347222222222|0
0|2020-01-24|0.0|0|0.0|0|73.48958333333333|0|6.713541666666667|0
0|2020-01-25|0.0|0|0.0014756944444444444|0|162.53472222222223|0|8.611111111111112|0
0|2020-01-26|0.0|0|0.0|0|340.46875|0|10.940972222222223|0
0|2020-01-27|0.0|0|0.0|0|317.69097222222223|0|9.838541666666666|0
0|2020-01-28|0.0|0|0.0|0|198.75000000000003|0|6.526041666666667|0
0|2020-01-29|0.0|0|0.0|0|51.99652777777778|0|1.0833333333333333|0
0|2020-01-30|0.0|0|0.0|0|37.760416666666664|0|0.8993055555555555|0
0|2020-01-31|0.0|0|0.0|0|206.1284722222222|0|6.708333333333333|0
0|2020-02-01|0.0|0|0.0|0|226.8229166666667|0|9.593750000000002|0
0|2020-02-02|0.0|0|0.0|0|227.32638888888889|0|8.461805555555555|0
0|2020-02-03|0.0|0|0.0|0|292.8645833333333|0|7.994791666666667|0
0|2020-02-04|0.0|0|0.0|0|294.13194444444446|0|10.892361111111109|0
0|2020-02-05|0.0|0|0.0|0|139.20138888888889|0|6.510416666666667|0
0|2020-02-06|0.0|0|0.0|0|114.42708333333333|0|3.2725694444444446|0
0|2020-02-07|0.0|0|0.0|0|123.38541666666667|0|11.001736111111109|0
0|2020-02-08|0.0|0|0.0|0|204.28819444444446|0|6.203125|0
0|2020-02-09|0.0|0|0.0|0|162.08333333333334|0|4.892361111111112|0
