|dates|Butler_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Butler_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Butler_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Butler_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Butler_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Butler_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Butler_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Butler_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-02|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-03|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-04|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-05|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-06|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-07|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-08|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-09|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-10|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-11|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-12|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-13|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-14|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-15|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-16|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-17|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-18|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-19|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-20|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-21|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-22|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-23|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-24|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-25|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-26|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-27|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-28|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-29|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-30|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-01-31|95320.5|0|4879.0|0|4.869285774879116|0|100199.5|0
0|2020-02-01|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-02|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-03|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-04|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-05|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-06|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-07|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-08|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-09|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-10|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-11|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-12|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-13|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-14|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-15|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-16|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-17|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-18|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-19|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-20|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-21|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
0|2020-02-22|95790.0|0|4936.0|0|4.900422929531601|0|100726.0|0
