|dates|York_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|York_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|York_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|York_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|York_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|York_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|York_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|York_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-02|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-03|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-04|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-05|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-06|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-07|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-08|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-09|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-10|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-11|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-12|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-13|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-14|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-15|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-16|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-17|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-18|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-19|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-20|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-21|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-22|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-23|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-24|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-25|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-26|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-27|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-28|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-29|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-30|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-01-31|138123.0|0|4043.0|0|2.8438585878480085|0|142166.0|0
0|2020-02-01|138729.0|0|4030.0|0|2.8229393593398666|0|142759.0|0
0|2020-02-02|138729.0|0|4030.0|0|2.8229393593398666|0|142759.0|0
0|2020-02-03|138729.0|0|4030.0|0|2.8229393593398666|0|142759.0|0
0|2020-02-04|138729.0|0|4030.0|0|2.8229393593398666|0|142759.0|0
0|2020-02-05|138729.0|0|4030.0|0|2.8229393593398666|0|142759.0|0
0|2020-02-06|138729.0|0|4030.0|0|2.8229393593398666|0|142759.0|0
0|2020-02-07|138729.0|0|4030.0|0|2.8229393593398666|0|142759.0|0
0|2020-02-08|138729.0|0|4030.0|0|2.8229393593398666|0|142759.0|0
