|dates|Putnam_Missouri_UnitedStates.BLS_EmployedPopulation.data|Putnam_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Putnam_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Putnam_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Putnam_Missouri_UnitedStates.BLS_UnemploymentRate.data|Putnam_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Putnam_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Putnam_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-02|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-03|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-04|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-05|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-06|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-07|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-08|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-09|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-10|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-11|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-12|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-13|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-14|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-15|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-16|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-17|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-18|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-19|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-20|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-21|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-22|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-23|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-24|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-25|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-26|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
0|2020-01-27|2194.0|0|105.0|0|4.5672031317964334|0|2299.0|0
