|dates|Greene_Indiana_UnitedStates.BLS_EmployedPopulation.data|Greene_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Greene_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Greene_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Greene_Indiana_UnitedStates.BLS_UnemploymentRate.data|Greene_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Greene_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Greene_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-02|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-03|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-04|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-05|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-06|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-07|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-08|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-09|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-10|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-11|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-12|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-13|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-14|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-15|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-16|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-17|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-18|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-19|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-20|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-21|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-22|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-23|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-24|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-25|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-26|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-27|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-28|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-29|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-30|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-01-31|13014.0|0|632.5|0|4.634888066537207|0|13646.5|0
0|2020-02-01|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-02|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-03|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-04|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-05|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-06|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-07|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-08|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-09|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-10|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-11|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-12|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-13|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-14|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-15|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-16|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-17|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-18|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-19|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-20|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-21|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-22|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-23|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-24|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-25|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-26|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-27|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-28|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-02-29|13043.5|0|623.0|0|4.55859217795339|0|13666.5|0
0|2020-03-01|12665.0|0|608.0|0|4.580727793264522|0|13273.0|0
0|2020-03-02|12665.0|0|608.0|0|4.580727793264522|0|13273.0|0
0|2020-03-03|12665.0|0|608.0|0|4.580727793264522|0|13273.0|0
