|dates|Cabarrus_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Cabarrus_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Cabarrus_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Cabarrus_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Cabarrus_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Cabarrus_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Cabarrus_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Cabarrus_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-02|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-03|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-04|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-05|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-06|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-07|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-08|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-09|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-10|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-11|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-12|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-13|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-14|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-15|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-16|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-17|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-18|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-19|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-20|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-21|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-22|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-23|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-24|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-25|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-26|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-27|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-28|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-29|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-30|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-01-31|106971.0|0|3912.0|0|3.528043072427694|0|110883.0|0
0|2020-02-01|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-02|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-03|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-04|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-05|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-06|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-07|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-08|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-09|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-10|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-11|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-12|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-13|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-14|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-15|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-16|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-17|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-18|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-19|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-20|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-21|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-22|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-23|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-24|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-25|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-26|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
0|2020-02-27|107972.0|0|3634.0|0|3.2560973424367865|0|111606.0|0
