|dates|Pierce_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pierce_NorthDakota_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pierce_NorthDakota_UnitedStates.Male_Total_Population.data|Pierce_NorthDakota_UnitedStates.Male_Total_Population.missing|Pierce_NorthDakota_UnitedStates.Female_Total_Population.data|Pierce_NorthDakota_UnitedStates.Female_Total_Population.missing|Pierce_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.data|Pierce_NorthDakota_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-02|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-03|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-04|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-05|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-06|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-07|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-08|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-09|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-10|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-11|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-12|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-13|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-14|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-15|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-16|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-17|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-18|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-19|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-20|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-21|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-22|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-23|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-24|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-25|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-26|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-27|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-28|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-29|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-30|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-01-31|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-01|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-02|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-03|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-04|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-05|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-06|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-07|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-08|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-09|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-10|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-11|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-12|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-13|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-14|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-15|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-16|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-17|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-18|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-19|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-20|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-21|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-22|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-23|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-24|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-25|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-26|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-27|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-28|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-02-29|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-01|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-02|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-03|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-04|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-05|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-06|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-07|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-08|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-09|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-10|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-11|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-12|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-13|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-14|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-15|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-16|962.0|0|2089.0|0|1992.0|0|915.0|0
0|2020-03-17|962.0|0|2089.0|0|1992.0|0|915.0|0
