|dates|Green_Wisconsin_UnitedStates.BLS_EmployedPopulation.data|Green_Wisconsin_UnitedStates.BLS_EmployedPopulation.missing|Green_Wisconsin_UnitedStates.BLS_UnemployedPopulation.data|Green_Wisconsin_UnitedStates.BLS_UnemployedPopulation.missing|Green_Wisconsin_UnitedStates.BLS_UnemploymentRate.data|Green_Wisconsin_UnitedStates.BLS_UnemploymentRate.missing|Green_Wisconsin_UnitedStates.BLS_LaborForcePopulation.data|Green_Wisconsin_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-02|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-03|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-04|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-05|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-06|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-07|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-08|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-09|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-10|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-11|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-12|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-13|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-14|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-15|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-16|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-17|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-18|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-19|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-20|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-21|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-22|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-23|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-24|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-25|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-26|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-27|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-28|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
0|2020-01-29|20188.5|0|761.5|0|3.6348448687350836|0|20950.0|0
