|dates|Bedford_Virginia_UnitedStates.BLS_EmployedPopulation.data|Bedford_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Bedford_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Bedford_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Bedford_Virginia_UnitedStates.BLS_UnemploymentRate.data|Bedford_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Bedford_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Bedford_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-02|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-03|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-04|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-05|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-06|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-07|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-08|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-09|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-10|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-11|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-12|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-13|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-14|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-15|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-16|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-17|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-18|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-19|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-20|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-21|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-22|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-23|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-24|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-25|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-26|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-27|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-28|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-29|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-30|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-01-31|37607.5|0|1184.0|0|3.052215047110836|0|38791.5|0
0|2020-02-01|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-02|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-03|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-04|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-05|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-06|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-07|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-08|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-09|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-10|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-11|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-12|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-13|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-14|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-15|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-16|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-17|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-18|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-19|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-20|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-21|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-22|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-23|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-24|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-25|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-26|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-27|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-28|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-02-29|37901.0|0|1074.0|0|2.7556125721616422|0|38975.0|0
0|2020-03-01|37539.5|0|1239.5|0|3.196317594574383|0|38779.0|0
0|2020-03-02|37539.5|0|1239.5|0|3.196317594574383|0|38779.0|0
