|dates|Marion_Indiana_UnitedStates.BLS_EmployedPopulation.data|Marion_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Marion_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Marion_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Marion_Indiana_UnitedStates.BLS_UnemploymentRate.data|Marion_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Marion_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Marion_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-02|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-03|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-04|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-05|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-06|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-07|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-08|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-09|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-10|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-11|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-12|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-13|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-14|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-15|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-16|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-17|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-18|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-19|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-20|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-21|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-22|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-23|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-24|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-25|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-26|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-27|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-28|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-29|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-30|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-01-31|477151.5|0|16552.5|0|3.3527174177239805|0|493704.0|0
0|2020-02-01|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-02|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-03|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-04|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-05|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-06|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-07|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-08|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-09|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-10|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-11|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-12|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-13|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-14|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-15|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-16|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-17|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-18|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-19|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-20|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-21|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-22|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-23|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-24|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-25|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-26|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-27|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-28|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-02-29|478195.5|0|15635.5|0|3.1661641330738655|0|493831.0|0
0|2020-03-01|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-02|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-03|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-04|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-05|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-06|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-07|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-08|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-09|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-10|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-11|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-12|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-13|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-14|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-15|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-16|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-17|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-18|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-19|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-20|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-21|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
0|2020-03-22|466432.5|0|16062.5|0|3.3290500419693467|0|482495.0|0
