|dates|Jefferson_Idaho_UnitedStates.BLS_EmployedPopulation.data|Jefferson_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Jefferson_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Jefferson_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Jefferson_Idaho_UnitedStates.BLS_UnemploymentRate.data|Jefferson_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Jefferson_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Jefferson_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-02|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-03|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-04|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-05|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-06|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-07|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-08|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-09|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-10|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-11|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-12|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-13|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-14|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-15|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-16|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-17|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-18|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-19|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-20|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-21|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-22|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-23|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-24|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-25|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-26|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-27|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-28|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
0|2020-01-29|13613.0|0|411.0|0|2.930690245293782|0|14024.0|0
