|dates|Washington_Nebraska_UnitedStates.BLS_EmployedPopulation.data|Washington_Nebraska_UnitedStates.BLS_EmployedPopulation.missing|Washington_Nebraska_UnitedStates.BLS_UnemployedPopulation.data|Washington_Nebraska_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Nebraska_UnitedStates.BLS_UnemploymentRate.data|Washington_Nebraska_UnitedStates.BLS_UnemploymentRate.missing|Washington_Nebraska_UnitedStates.BLS_LaborForcePopulation.data|Washington_Nebraska_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-02|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-03|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-04|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-05|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-06|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-07|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-08|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-09|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-10|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-11|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-12|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-13|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-14|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-15|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-16|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-17|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-18|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-19|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-20|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-21|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-22|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-23|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-24|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-25|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-26|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-27|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-28|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-29|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-30|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
0|2020-01-31|10945.5|0|351.5|0|3.1114455165088075|0|11297.0|0
