|dates|Cooke_Texas_UnitedStates.BLS_EmployedPopulation.data|Cooke_Texas_UnitedStates.BLS_EmployedPopulation.missing|Cooke_Texas_UnitedStates.BLS_UnemployedPopulation.data|Cooke_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Cooke_Texas_UnitedStates.BLS_UnemploymentRate.data|Cooke_Texas_UnitedStates.BLS_UnemploymentRate.missing|Cooke_Texas_UnitedStates.BLS_LaborForcePopulation.data|Cooke_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-02|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-03|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-04|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-05|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-06|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-07|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-08|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-09|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-10|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-11|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-12|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-13|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-14|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-15|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-16|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-17|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-18|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-19|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-20|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-21|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-22|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-23|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-24|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-25|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-26|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
0|2020-01-27|19065.5|0|612.5|0|3.112613070433987|0|19678.0|0
