|dates|Breathitt_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Breathitt_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Breathitt_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Breathitt_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Breathitt_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Breathitt_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Breathitt_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Breathitt_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-02|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-03|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-04|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-05|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-06|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-07|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-08|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-09|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-10|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-11|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-12|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-13|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-14|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-15|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-16|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-17|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-18|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-19|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-20|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-21|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-22|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-23|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-24|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-25|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-26|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-27|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-28|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-29|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-30|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-01-31|3099.0|0|372.5|0|10.730231888232753|0|3471.5|0
0|2020-02-01|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-02|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-03|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-04|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-05|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-06|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-07|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-08|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-09|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-10|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-11|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-12|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-13|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-14|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-15|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-16|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-17|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-18|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-19|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-20|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-21|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-22|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-23|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-24|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-25|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-26|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-27|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-28|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-02-29|3102.5|0|363.5|0|10.487593768032314|0|3466.0|0
0|2020-03-01|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-02|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-03|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-04|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-05|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-06|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-07|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-08|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-09|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-10|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-11|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-12|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-13|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-14|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-15|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-16|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
0|2020-03-17|3074.0|0|399.5|0|11.501367496761192|0|3473.5|0
