|dates|Phillips_Kansas_UnitedStates.BLS_EmployedPopulation.data|Phillips_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Phillips_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Phillips_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Phillips_Kansas_UnitedStates.BLS_UnemploymentRate.data|Phillips_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Phillips_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Phillips_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-02|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-03|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-04|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-05|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-06|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-07|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-08|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-09|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-10|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-11|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-12|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-13|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-14|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-15|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-16|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-17|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-18|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-19|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-20|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-21|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-22|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-23|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-24|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-25|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-26|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-27|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-28|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-29|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-30|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-01-31|2541.5|0|67.0|0|2.568525972781292|0|2608.5|0
0|2020-02-01|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-02|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-03|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-04|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-05|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-06|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-07|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-08|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-09|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-10|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-11|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-12|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-13|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-14|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-15|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-16|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-17|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-18|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-19|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-20|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-21|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-22|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-23|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-24|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-25|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-26|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-27|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-28|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-02-29|2556.5|0|61.5|0|2.3491214667685254|0|2618.0|0
0|2020-03-01|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-02|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-03|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-04|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-05|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-06|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-07|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-08|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-09|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-10|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-11|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-12|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
0|2020-03-13|2579.5|0|65.5|0|2.4763705103969755|0|2645.0|0
