|dates|Mecklenburg_Virginia_UnitedStates.BLS_EmployedPopulation.data|Mecklenburg_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Mecklenburg_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Mecklenburg_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Mecklenburg_Virginia_UnitedStates.BLS_UnemploymentRate.data|Mecklenburg_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Mecklenburg_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Mecklenburg_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-02|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-03|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-04|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-05|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-06|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-07|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-08|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-09|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-10|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-11|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-12|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-13|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-14|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-15|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-16|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-17|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-18|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-19|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-20|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-21|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
0|2020-01-22|12028.5|0|549.0|0|4.364937388193202|0|12577.5|0
