|dates|Grundy_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Grundy_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Grundy_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Grundy_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Grundy_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Grundy_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Grundy_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Grundy_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-02|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-03|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-04|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-05|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-06|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-07|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-08|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-09|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-10|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-11|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-12|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-13|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-14|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-15|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-16|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-17|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-18|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-19|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-20|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-21|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-22|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-23|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-24|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-25|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-26|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-27|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-28|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-29|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-30|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-01-31|4879.0|0|250.5|0|4.883516911979725|0|5129.5|0
0|2020-02-01|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-02|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-03|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-04|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-05|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-06|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-07|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-08|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-09|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-10|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-11|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-12|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-13|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-14|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-15|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-16|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-17|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-18|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-19|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-20|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-21|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-22|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-23|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-24|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-25|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-26|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-27|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-28|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-02-29|4908.5|0|242.0|0|4.698572954082128|0|5150.5|0
0|2020-03-01|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-02|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-03|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-04|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-05|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-06|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-07|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-08|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-09|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-10|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-11|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-12|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-13|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-14|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-15|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-16|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-17|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
0|2020-03-18|4819.0|0|242.5|0|4.791069840956238|0|5061.5|0
