|dates|Cambria_Pennsylvania_UnitedStates.BLS_EmployedPopulation.data|Cambria_Pennsylvania_UnitedStates.BLS_EmployedPopulation.missing|Cambria_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.data|Cambria_Pennsylvania_UnitedStates.BLS_UnemployedPopulation.missing|Cambria_Pennsylvania_UnitedStates.BLS_UnemploymentRate.data|Cambria_Pennsylvania_UnitedStates.BLS_UnemploymentRate.missing|Cambria_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.data|Cambria_Pennsylvania_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-02|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-03|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-04|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-05|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-06|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-07|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-08|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-09|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-10|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-11|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-12|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-13|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-14|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-15|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-16|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-17|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-18|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-19|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-20|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-21|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-22|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-23|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-24|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-25|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-26|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-27|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-28|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-29|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-30|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
0|2020-01-31|54038.0|0|3740.5|0|6.473861384425002|0|57778.5|0
