|dates|Henry_Indiana_UnitedStates.AveragePrecipitationTotal.data|Henry_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Henry_Indiana_UnitedStates.AveragePrecipitation.data|Henry_Indiana_UnitedStates.AveragePrecipitation.missing|Henry_Indiana_UnitedStates.AverageWindDirection.data|Henry_Indiana_UnitedStates.AverageWindDirection.missing|Henry_Indiana_UnitedStates.AverageWindSpeed.data|Henry_Indiana_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|236.92708333333334|0|8.776041666666666|0
0|2020-01-02|0.0|0|0.00020833333333333335|0|187.23958333333334|0|10.005208333333334|0
0|2020-01-03|0.006666666666666667|0|0.008645833333333337|0|152.1875|0|2.5052083333333335|0
0|2020-01-04|0.00020833333333333335|0|0.0|0|303.6458333333333|0|9.442708333333334|0
0|2020-01-05|0.0|0|0.0|0|241.51041666666666|0|10.1875|0
0|2020-01-06|0.0|0|0.0|0|182.13541666666666|0|5.880208333333333|0
0|2020-01-07|0.0|0|0.0|0|155.46875|0|5.3125|0
0|2020-01-08|0.0|0|0.0|0|209.6875|0|8.630208333333334|0
0|2020-01-09|0.0|0|0.0025|0|161.82291666666666|0|13.541666666666666|0
0|2020-01-10|0.016666666666666666|0|0.02848958333333333|0|186.71875|0|11.71875|0
0|2020-01-11|0.017708333333333333|0|0.024687499999999998|0|210.52083333333334|0|12.666666666666666|0
0|2020-01-12|0.02291666666666667|0|0.0010416666666666664|0|257.1875|0|5.260416666666667|0
0|2020-01-13|0.0|0|0.0|0|173.64583333333334|0|4.859375|0
0|2020-01-14|0.0|0|0.0|0|169.01041666666666|0|5.296875|0
0|2020-01-15|0.0|0|0.0|0|164.21875|0|7.072916666666667|0
0|2020-01-16|0.0004166666666666667|0|0.0|0|291.1458333333333|0|13.291666666666666|0
0|2020-01-17|0.0|0|0.0|0|90.46875|0|9.90625|0
0|2020-01-18|0.004166666666666667|0|0.008958333333333337|0|214.84375|0|15.385416666666666|0
0|2020-01-19|0.0025|0|0.0|0|285.0520833333333|0|14.354166666666666|0
0|2020-01-20|0.0|0|0.0|0|133.48958333333334|0|3.5625|0
0|2020-01-21|0.0|0|0.0|0|102.23958333333333|0|2.1145833333333335|0
0|2020-01-22|0.0|0|0.0|0|170.20833333333334|0|6.927083333333333|0
0|2020-01-23|0.0|0|0.0|0|150.26041666666666|0|7.260416666666667|0
0|2020-01-24|0.0|0|0.0027604166666666667|0|163.33333333333334|0|7.609375|0
0|2020-01-25|0.0027083333333333334|0|0.0004166666666666667|0|231.09375|0|8.104166666666666|0
0|2020-01-26|0.000625|0|0.0|0|237.08333333333334|0|5.973958333333333|0
0|2020-01-27|0.0|0|0.0|0|291.875|0|6.125|0
0|2020-01-28|0.0|0|0.0|0|242.1875|0|3.625|0
0|2020-01-29|0.0|0|0.0|0|48.072916666666664|0|2.265625|0
0|2020-01-30|0.0|0|0.0|0|57.5|0|2.609375|0
0|2020-01-31|0.0|0|0.0|0|82.5|0|2.5833333333333335|0
0|2020-02-01|0.0|0|0.0|0|166.66666666666666|0|5.552083333333333|0
0|2020-02-02|0.0|0|0.0|0|232.86458333333334|0|10.317708333333334|0
0|2020-02-03|0.0|0|0.0|0|154.73958333333334|0|7.145833333333333|0
0|2020-02-04|0.0|0|0.0|0|132.1875|0|10.932291666666666|0
0|2020-02-05|0.0020833333333333333|0|0.0017708333333333335|0|54.166666666666664|0|11.130208333333334|0
0|2020-02-06|0.0016666666666666668|0|0.0|0|155.88541666666666|0|6.958333333333333|0
0|2020-02-07|0.0|0|0.0|0|279.3229166666667|0|7.807291666666667|0
0|2020-02-08|0.0|0|0.0|0|204.0625|0|4.546875|0
0|2020-02-09|0.0|0|0.010468750000000004|0|172.70833333333334|0|8.265625|0
0|2020-02-10|0.018541666666666668|0|0.00885416666666667|0|214.21875|0|6.713541666666667|0
0|2020-02-11|0.0|0|0.0|0|256.1979166666667|0|5.729166666666667|0
0|2020-02-12|0.0|0|0.0026041666666666665|0|80.0|0|4.296875|0
0|2020-02-13|0.0020833333333333333|0|0.00020833333333333335|0|237.96875|0|9.208333333333334|0
0|2020-02-14|0.0|0|0.0|0|244.42708333333334|0|5.901041666666667|0
0|2020-02-15|0.0|0|0.0|0|182.96875|0|9.515625|0
0|2020-02-16|0.0|0|0.0|0|187.23958333333334|0|3.609375|0
0|2020-02-17|0.0|0|0.0015624999999999999|0|93.54166666666667|0|7.0|0
0|2020-02-18|0.0010416666666666667|0|0.0|0|272.03125|0|10.010416666666666|0
0|2020-02-19|0.0|0|0.0|0|282.1875|0|6.010416666666667|0
0|2020-02-20|0.0|0|0.0|0|204.0625|0|9.208333333333334|0
0|2020-02-21|0.0|0|0.0|0|200.15625|0|5.25|0
0|2020-02-22|0.0|0|0.0|0|210.98958333333334|0|8.5|0
0|2020-02-23|0.0|0|0.0|0|201.875|0|8.572916666666666|0
0|2020-02-24|0.0|0|0.00015625|0|150.15625|0|6.6875|0
0|2020-02-25|0.0025|0|0.00020833333333333335|0|44.427083333333336|0|9.791666666666666|0
0|2020-02-26|0.0016666666666666668|0|0.0|0|207.39583333333334|0|12.135416666666666|0
