|dates|Owsley_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Owsley_Kentucky_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Owsley_Kentucky_UnitedStates.Male_Total_Population.data|Owsley_Kentucky_UnitedStates.Male_Total_Population.missing|Owsley_Kentucky_UnitedStates.Female_Total_Population.data|Owsley_Kentucky_UnitedStates.Female_Total_Population.missing|Owsley_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.data|Owsley_Kentucky_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-02|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-03|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-04|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-05|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-06|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-07|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-08|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-09|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-10|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-11|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-12|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-13|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-14|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-15|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-16|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-17|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-18|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-19|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-20|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-21|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-22|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-23|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-24|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-25|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-26|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-27|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-28|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-29|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-30|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-01-31|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-01|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-02|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-03|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-04|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-05|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-06|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-07|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-08|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-09|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-10|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-11|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-12|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-13|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-14|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-15|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-16|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-17|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-18|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-19|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-20|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-21|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-22|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-23|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-24|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-25|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-26|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-27|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-28|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-02-29|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-01|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-02|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-03|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-04|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-05|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-06|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-07|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-08|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-09|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-10|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-11|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-12|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-13|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-14|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-15|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-16|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-17|877.0|0|2208.0|0|2264.0|0|1009.0|0
0|2020-03-18|877.0|0|2208.0|0|2264.0|0|1009.0|0
