|dates|Hancock_Indiana_UnitedStates.BLS_EmployedPopulation.data|Hancock_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Hancock_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Hancock_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Hancock_Indiana_UnitedStates.BLS_UnemploymentRate.data|Hancock_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Hancock_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Hancock_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-02|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-03|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-04|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-05|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-06|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-07|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-08|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-09|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-10|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-11|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-12|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-13|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-14|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-15|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-16|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-17|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-18|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-19|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-20|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-21|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-22|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-23|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-24|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
0|2020-01-25|39499.0|0|1239.5|0|3.0425764326128846|0|40738.5|0
