|dates|Moore_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Moore_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Moore_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Moore_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Moore_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Moore_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Moore_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Moore_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-02|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-03|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-04|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-05|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-06|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-07|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-08|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-09|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-10|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-11|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-12|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-13|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-14|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-15|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-16|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-17|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-18|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-19|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-20|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-21|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-22|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-23|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-24|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-25|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-26|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-27|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-28|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-29|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-30|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-01-31|3494.0|0|124.5|0|3.4406522039519136|0|3618.5|0
0|2020-02-01|3645.0|0|121.0|0|3.2129580456718|0|3766.0|0
0|2020-02-02|3645.0|0|121.0|0|3.2129580456718|0|3766.0|0
0|2020-02-03|3645.0|0|121.0|0|3.2129580456718|0|3766.0|0
0|2020-02-04|3645.0|0|121.0|0|3.2129580456718|0|3766.0|0
