|dates|Chester_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Chester_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Chester_Pennsylvania_UnitedStates.Male_Total_Population.data|Chester_Pennsylvania_UnitedStates.Male_Total_Population.missing|Chester_Pennsylvania_UnitedStates.Female_Total_Population.data|Chester_Pennsylvania_UnitedStates.Female_Total_Population.missing|Chester_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Chester_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-02|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-03|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-04|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-05|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-06|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-07|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-08|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-09|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-10|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-11|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-12|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-13|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-14|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-15|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-16|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-17|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-18|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-19|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-20|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-21|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-22|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-23|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-24|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-25|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-26|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-27|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-28|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-29|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-30|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-01-31|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-01|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-02|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-03|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-04|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-05|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-06|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-07|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-08|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-09|85335.0|0|257214.0|0|264832.0|0|118139.0|0
0|2020-02-10|85335.0|0|257214.0|0|264832.0|0|118139.0|0
