|dates|Richland_Montana_UnitedStates.BLS_EmployedPopulation.data|Richland_Montana_UnitedStates.BLS_EmployedPopulation.missing|Richland_Montana_UnitedStates.BLS_UnemployedPopulation.data|Richland_Montana_UnitedStates.BLS_UnemployedPopulation.missing|Richland_Montana_UnitedStates.BLS_UnemploymentRate.data|Richland_Montana_UnitedStates.BLS_UnemploymentRate.missing|Richland_Montana_UnitedStates.BLS_LaborForcePopulation.data|Richland_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-02|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-03|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-04|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-05|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-06|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-07|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-08|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-09|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-10|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-11|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-12|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-13|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-14|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-15|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-16|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-17|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-18|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-19|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-20|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
0|2020-01-21|5720.5|0|192.5|0|3.2555386436664975|0|5913.0|0
