|dates|PowderRiver_Montana_UnitedStates.BLS_EmployedPopulation.data|PowderRiver_Montana_UnitedStates.BLS_EmployedPopulation.missing|PowderRiver_Montana_UnitedStates.BLS_UnemployedPopulation.data|PowderRiver_Montana_UnitedStates.BLS_UnemployedPopulation.missing|PowderRiver_Montana_UnitedStates.BLS_UnemploymentRate.data|PowderRiver_Montana_UnitedStates.BLS_UnemploymentRate.missing|PowderRiver_Montana_UnitedStates.BLS_LaborForcePopulation.data|PowderRiver_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-02|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-03|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-04|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-05|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-06|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-07|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-08|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-09|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-10|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-11|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-12|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-13|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-14|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-15|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-16|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-17|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-18|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-19|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-20|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-21|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-22|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-23|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-24|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-25|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-26|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-27|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-28|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-29|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-30|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-01-31|912.0|0|29.0|0|3.08182784272051|0|941.0|0
0|2020-02-01|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-02|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-03|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-04|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-05|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-06|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-07|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-08|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-09|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-10|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-11|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-12|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-13|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-14|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-15|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-16|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-17|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-18|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
0|2020-02-19|931.0|0|28.5|0|2.9702970297029703|0|959.5|0
