|dates|Dillon_SouthCarolina_UnitedStates.BLS_EmployedPopulation.data|Dillon_SouthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Dillon_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Dillon_SouthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Dillon_SouthCarolina_UnitedStates.BLS_UnemploymentRate.data|Dillon_SouthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Dillon_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Dillon_SouthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-02|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-03|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-04|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-05|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-06|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-07|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-08|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-09|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-10|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-11|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-12|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-13|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-14|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-15|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-16|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-17|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-18|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
0|2020-01-19|12603.0|0|562.0|0|4.268894796809723|0|13165.0|0
