|dates|Johnson_Kansas_UnitedStates.BLS_EmployedPopulation.data|Johnson_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Johnson_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Johnson_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Johnson_Kansas_UnitedStates.BLS_UnemploymentRate.data|Johnson_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Johnson_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Johnson_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-02|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-03|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-04|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-05|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-06|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-07|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-08|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-09|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-10|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-11|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-12|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-13|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-14|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-15|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-16|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-17|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-18|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-19|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-20|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-21|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-22|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
0|2020-01-23|332657.5|0|9323.5|0|2.7263210529239927|0|341981.0|0
