|dates|SweetGrass_Montana_UnitedStates.BLS_EmployedPopulation.data|SweetGrass_Montana_UnitedStates.BLS_EmployedPopulation.missing|SweetGrass_Montana_UnitedStates.BLS_UnemployedPopulation.data|SweetGrass_Montana_UnitedStates.BLS_UnemployedPopulation.missing|SweetGrass_Montana_UnitedStates.BLS_UnemploymentRate.data|SweetGrass_Montana_UnitedStates.BLS_UnemploymentRate.missing|SweetGrass_Montana_UnitedStates.BLS_LaborForcePopulation.data|SweetGrass_Montana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-02|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-03|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-04|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-05|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-06|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-07|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-08|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-09|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-10|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-11|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-12|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-13|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-14|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-15|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-16|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-17|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-18|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-19|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-20|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-21|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-22|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-23|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-24|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-25|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-26|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-27|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-28|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-29|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-30|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-01-31|1724.0|0|66.0|0|3.6871508379888267|0|1790.0|0
0|2020-02-01|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-02|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-03|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-04|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-05|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-06|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-07|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-08|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-09|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-10|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-11|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-12|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-13|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-14|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-15|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-16|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-17|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-18|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-19|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-20|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-21|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-22|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-23|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-24|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-25|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-26|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-27|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-28|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-02-29|1757.5|0|53.5|0|2.9541689674213143|0|1811.0|0
0|2020-03-01|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-02|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-03|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-04|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-05|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-06|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-07|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-08|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-09|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-10|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-11|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-12|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-13|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-14|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-15|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-16|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-17|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-18|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-19|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-20|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-21|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-22|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-23|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-24|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-25|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-26|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-27|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-28|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-29|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-30|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-03-31|1749.5|0|59.5|0|3.289110005527916|0|1809.0|0
0|2020-04-01|1679.0|0|118.5|0|6.592489568845619|0|1797.5|0
0|2020-04-02|1679.0|0|118.5|0|6.592489568845619|0|1797.5|0
0|2020-04-03|1679.0|0|118.5|0|6.592489568845619|0|1797.5|0
0|2020-04-04|1679.0|0|118.5|0|6.592489568845619|0|1797.5|0
0|2020-04-05|1679.0|0|118.5|0|6.592489568845619|0|1797.5|0
0|2020-04-06|1679.0|0|118.5|0|6.592489568845619|0|1797.5|0
0|2020-04-07|1679.0|0|118.5|0|6.592489568845619|0|1797.5|0
0|2020-04-08|1679.0|0|118.5|0|6.592489568845619|0|1797.5|0
0|2020-04-09|1679.0|0|118.5|0|6.592489568845619|0|1797.5|0
