|dates|Harding_NewMexico_UnitedStates.BLS_EmployedPopulation.data|Harding_NewMexico_UnitedStates.BLS_EmployedPopulation.missing|Harding_NewMexico_UnitedStates.BLS_UnemployedPopulation.data|Harding_NewMexico_UnitedStates.BLS_UnemployedPopulation.missing|Harding_NewMexico_UnitedStates.BLS_UnemploymentRate.data|Harding_NewMexico_UnitedStates.BLS_UnemploymentRate.missing|Harding_NewMexico_UnitedStates.BLS_LaborForcePopulation.data|Harding_NewMexico_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-02|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-03|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-04|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-05|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-06|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-07|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-08|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-09|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-10|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-11|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-12|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-13|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-14|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-15|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-16|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-17|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-18|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-19|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-20|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-21|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-22|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-23|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-24|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-25|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-26|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-27|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-28|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-29|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-30|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-01-31|270.0|0|11.5|0|4.085257548845471|0|281.5|0
0|2020-02-01|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-02|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-03|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-04|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-05|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-06|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-07|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-08|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-09|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-10|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-11|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-12|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-13|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-14|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-15|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-16|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-17|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-18|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-19|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-20|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-21|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-22|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-23|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-24|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-25|270.0|0|12.0|0|4.25531914893617|0|282.0|0
0|2020-02-26|270.0|0|12.0|0|4.25531914893617|0|282.0|0
