|dates|Humphreys_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Humphreys_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Humphreys_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Humphreys_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Humphreys_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Humphreys_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Humphreys_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Humphreys_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-02|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-03|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-04|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-05|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-06|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-07|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-08|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-09|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-10|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-11|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-12|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-13|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-14|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-15|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-16|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-17|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-18|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-19|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-20|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-21|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-22|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-23|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-24|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-25|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-26|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-27|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-28|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-29|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-30|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-01-31|8523.5|0|467.0|0|5.194371836938991|0|8990.5|0
0|2020-02-01|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-02|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-03|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-04|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-05|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-06|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-07|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-08|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-09|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-10|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-11|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-12|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-13|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
0|2020-02-14|8524.5|0|438.0|0|4.887029288702929|0|8962.5|0
