|dates|Lee_Florida_UnitedStates.BLS_EmployedPopulation.data|Lee_Florida_UnitedStates.BLS_EmployedPopulation.missing|Lee_Florida_UnitedStates.BLS_UnemployedPopulation.data|Lee_Florida_UnitedStates.BLS_UnemployedPopulation.missing|Lee_Florida_UnitedStates.BLS_UnemploymentRate.data|Lee_Florida_UnitedStates.BLS_UnemploymentRate.missing|Lee_Florida_UnitedStates.BLS_LaborForcePopulation.data|Lee_Florida_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-02|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-03|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-04|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-05|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-06|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-07|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-08|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-09|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-10|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-11|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-12|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-13|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-14|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-15|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-16|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-17|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-18|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-19|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-20|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-21|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-22|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-23|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-24|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-25|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-26|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-27|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-28|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-29|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-30|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-01-31|343914.0|0|11821.5|0|3.323115067233942|0|355735.5|0
0|2020-02-01|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-02|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-03|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-04|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-05|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-06|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-07|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-08|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-09|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-10|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-11|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-12|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-13|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-14|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-15|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-16|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-17|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-18|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
0|2020-02-19|347332.5|0|11016.0|0|3.074102444966283|0|358348.5|0
