|dates|Bollinger_Missouri_UnitedStates.BLS_EmployedPopulation.data|Bollinger_Missouri_UnitedStates.BLS_EmployedPopulation.missing|Bollinger_Missouri_UnitedStates.BLS_UnemployedPopulation.data|Bollinger_Missouri_UnitedStates.BLS_UnemployedPopulation.missing|Bollinger_Missouri_UnitedStates.BLS_UnemploymentRate.data|Bollinger_Missouri_UnitedStates.BLS_UnemploymentRate.missing|Bollinger_Missouri_UnitedStates.BLS_LaborForcePopulation.data|Bollinger_Missouri_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-02|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-03|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-04|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-05|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-06|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-07|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-08|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-09|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-10|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-11|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-12|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-13|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-14|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-15|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-16|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-17|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-18|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-19|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-20|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-21|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-22|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-23|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-24|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-25|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-26|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-27|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-28|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-29|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-30|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-01-31|5277.5|0|262.0|0|4.7296687426663055|0|5539.5|0
0|2020-02-01|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-02|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-03|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-04|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-05|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-06|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-07|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-08|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-09|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-10|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-11|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-12|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-13|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-14|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-15|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-16|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-17|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-18|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-19|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-20|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-21|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-22|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-23|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-24|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-25|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-26|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-27|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-28|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-02-29|5300.5|0|242.5|0|4.374887245174094|0|5543.0|0
0|2020-03-01|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-02|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-03|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-04|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-05|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-06|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-07|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-08|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-09|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-10|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-11|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-12|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-13|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-14|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-15|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-16|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-17|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-18|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-19|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-20|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-21|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-22|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-23|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-24|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-25|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-26|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-27|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-28|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-29|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
0|2020-03-30|5268.0|0|249.5|0|4.521975532396919|0|5517.5|0
