|dates|Coke_Texas_UnitedStates.BLS_EmployedPopulation.data|Coke_Texas_UnitedStates.BLS_EmployedPopulation.missing|Coke_Texas_UnitedStates.BLS_UnemployedPopulation.data|Coke_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Coke_Texas_UnitedStates.BLS_UnemploymentRate.data|Coke_Texas_UnitedStates.BLS_UnemploymentRate.missing|Coke_Texas_UnitedStates.BLS_LaborForcePopulation.data|Coke_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-02|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-03|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-04|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-05|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-06|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-07|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-08|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-09|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-10|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-11|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-12|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-13|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-14|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-15|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-16|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-17|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-18|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-19|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-20|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-21|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-22|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-23|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-24|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-25|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-26|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-27|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-28|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-29|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-30|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-01-31|1387.0|0|41.0|0|2.8711484593837535|0|1428.0|0
0|2020-02-01|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-02|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-03|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-04|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-05|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-06|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-07|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-08|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-09|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-10|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-11|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-12|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-13|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-14|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-15|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
0|2020-02-16|1400.5|0|41.5|0|2.8779472954230236|0|1442.0|0
