|dates|Mason_WestVirginia_UnitedStates.BLS_EmployedPopulation.data|Mason_WestVirginia_UnitedStates.BLS_EmployedPopulation.missing|Mason_WestVirginia_UnitedStates.BLS_UnemployedPopulation.data|Mason_WestVirginia_UnitedStates.BLS_UnemployedPopulation.missing|Mason_WestVirginia_UnitedStates.BLS_UnemploymentRate.data|Mason_WestVirginia_UnitedStates.BLS_UnemploymentRate.missing|Mason_WestVirginia_UnitedStates.BLS_LaborForcePopulation.data|Mason_WestVirginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-02|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-03|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-04|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-05|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-06|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-07|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-08|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-09|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-10|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-11|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-12|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-13|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-14|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-15|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-16|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-17|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-18|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-19|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-20|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-21|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-22|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-23|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-24|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-25|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
0|2020-01-26|9649.5|0|696.0|0|6.727562708423952|0|10345.5|0
