|dates|Lyon_Kansas_UnitedStates.BLS_EmployedPopulation.data|Lyon_Kansas_UnitedStates.BLS_EmployedPopulation.missing|Lyon_Kansas_UnitedStates.BLS_UnemployedPopulation.data|Lyon_Kansas_UnitedStates.BLS_UnemployedPopulation.missing|Lyon_Kansas_UnitedStates.BLS_UnemploymentRate.data|Lyon_Kansas_UnitedStates.BLS_UnemploymentRate.missing|Lyon_Kansas_UnitedStates.BLS_LaborForcePopulation.data|Lyon_Kansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-02|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-03|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-04|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-05|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-06|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-07|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-08|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-09|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-10|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-11|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-12|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-13|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-14|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-15|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-16|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-17|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-18|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-19|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-20|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-21|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
0|2020-01-22|16102.5|0|598.5|0|3.583617747440273|0|16701.0|0
