|dates|Richland_NorthDakota_UnitedStates.BLS_EmployedPopulation.data|Richland_NorthDakota_UnitedStates.BLS_EmployedPopulation.missing|Richland_NorthDakota_UnitedStates.BLS_UnemployedPopulation.data|Richland_NorthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Richland_NorthDakota_UnitedStates.BLS_UnemploymentRate.data|Richland_NorthDakota_UnitedStates.BLS_UnemploymentRate.missing|Richland_NorthDakota_UnitedStates.BLS_LaborForcePopulation.data|Richland_NorthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-02|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-03|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-04|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-05|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-06|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-07|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-08|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-09|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-10|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-11|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-12|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-13|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-14|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-15|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-16|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-17|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-18|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-19|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-20|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-21|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-22|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-23|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-24|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-25|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-26|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-27|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-28|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-29|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-30|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-01-31|8125.0|0|217.0|0|2.601294653560297|0|8342.0|0
0|2020-02-01|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-02|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-03|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-04|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-05|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-06|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-07|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-08|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-09|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-10|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-11|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-12|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-13|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-14|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-15|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-16|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-17|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-18|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-19|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-20|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-21|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-22|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-23|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-24|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-25|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-26|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
0|2020-02-27|8183.5|0|211.0|0|2.5135505390434214|0|8394.5|0
