|dates|Washington_Oregon_UnitedStates.BLS_EmployedPopulation.data|Washington_Oregon_UnitedStates.BLS_EmployedPopulation.missing|Washington_Oregon_UnitedStates.BLS_UnemployedPopulation.data|Washington_Oregon_UnitedStates.BLS_UnemployedPopulation.missing|Washington_Oregon_UnitedStates.BLS_UnemploymentRate.data|Washington_Oregon_UnitedStates.BLS_UnemploymentRate.missing|Washington_Oregon_UnitedStates.BLS_LaborForcePopulation.data|Washington_Oregon_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-02|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-03|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-04|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-05|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-06|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-07|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-08|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-09|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-10|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-11|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-12|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-13|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-14|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-15|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-16|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-17|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-18|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-19|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-20|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-21|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-22|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-23|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-24|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-25|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-26|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
0|2020-01-27|315372.0|0|9388.0|0|2.8907500923759084|0|324760.0|0
