|dates|Cass_Texas_UnitedStates.BLS_EmployedPopulation.data|Cass_Texas_UnitedStates.BLS_EmployedPopulation.missing|Cass_Texas_UnitedStates.BLS_UnemployedPopulation.data|Cass_Texas_UnitedStates.BLS_UnemployedPopulation.missing|Cass_Texas_UnitedStates.BLS_UnemploymentRate.data|Cass_Texas_UnitedStates.BLS_UnemploymentRate.missing|Cass_Texas_UnitedStates.BLS_LaborForcePopulation.data|Cass_Texas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-02|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-03|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-04|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-05|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-06|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-07|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-08|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-09|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-10|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-11|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-12|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-13|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-14|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-15|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-16|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-17|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-18|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-19|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-20|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-21|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-22|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-23|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-24|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-25|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-26|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
0|2020-01-27|11746.0|0|572.0|0|4.643610975807761|0|12318.0|0
