|dates|Cherokee_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Cherokee_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Cherokee_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Cherokee_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Cherokee_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Cherokee_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Cherokee_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Cherokee_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-02|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-03|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-04|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-05|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-06|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-07|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-08|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-09|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-10|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-11|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-12|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-13|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-14|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-15|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-16|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-17|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-18|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-19|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-20|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-21|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-22|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-23|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-24|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-25|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-26|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-27|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-28|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-29|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-30|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-01-31|10634.5|0|516.0|0|4.627595175104255|0|11150.5|0
0|2020-02-01|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-02|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-03|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-04|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-05|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-06|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-07|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-08|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-09|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-10|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-11|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-12|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-13|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-14|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-15|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-16|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-17|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-18|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
0|2020-02-19|10809.5|0|471.0|0|4.175346837462879|0|11280.5|0
