|dates|Lee_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Lee_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Lee_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Lee_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Lee_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Lee_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Lee_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Lee_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-02|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-03|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-04|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-05|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-06|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-07|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-08|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-09|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-10|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-11|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-12|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-13|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-14|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-15|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-16|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-17|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-18|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-19|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-20|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
0|2020-01-21|1969.0|0|136.5|0|6.48302066017573|0|2105.5|0
