|dates|Hendricks_Indiana_UnitedStates.BLS_EmployedPopulation.data|Hendricks_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Hendricks_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Hendricks_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Hendricks_Indiana_UnitedStates.BLS_UnemploymentRate.data|Hendricks_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Hendricks_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Hendricks_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-02|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-03|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-04|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-05|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-06|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-07|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-08|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-09|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-10|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-11|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-12|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-13|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-14|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-15|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-16|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-17|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-18|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-19|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-20|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-21|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-22|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-23|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
0|2020-01-24|88362.0|0|2544.5|0|2.799029772348512|0|90906.5|0
