|dates|Clay_NorthCarolina_UnitedStates.BLS_EmployedPopulation.data|Clay_NorthCarolina_UnitedStates.BLS_EmployedPopulation.missing|Clay_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.data|Clay_NorthCarolina_UnitedStates.BLS_UnemployedPopulation.missing|Clay_NorthCarolina_UnitedStates.BLS_UnemploymentRate.data|Clay_NorthCarolina_UnitedStates.BLS_UnemploymentRate.missing|Clay_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.data|Clay_NorthCarolina_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-02|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-03|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-04|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-05|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-06|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-07|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-08|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-09|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-10|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-11|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-12|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-13|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-14|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-15|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-16|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-17|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-18|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-19|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-20|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-21|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-22|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
0|2020-01-23|3959.5|0|194.0|0|4.670759600337065|0|4153.5|0
