|dates|Pueblo_Colorado_UnitedStates.AveragePrecipitationTotal.data|Pueblo_Colorado_UnitedStates.AveragePrecipitationTotal.missing|Pueblo_Colorado_UnitedStates.AveragePrecipitation.data|Pueblo_Colorado_UnitedStates.AveragePrecipitation.missing|Pueblo_Colorado_UnitedStates.AverageWindDirection.data|Pueblo_Colorado_UnitedStates.AverageWindDirection.missing|Pueblo_Colorado_UnitedStates.AverageWindSpeed.data|Pueblo_Colorado_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|257.9166666666667|0|17.375|0
0|2020-01-02|0.0|0|0.0|0|171.45833333333334|0|6.166666666666667|0
0|2020-01-03|0.0|0|0.0|0|126.25|0|4.083333333333333|0
0|2020-01-04|0.0|0|0.0|0|196.25|0|7.958333333333333|0
0|2020-01-05|0.0|0|0.0|0|175.0|0|11.041666666666666|0
0|2020-01-06|0.0|0|0.0|0|242.29166666666666|0|13.3125|0
0|2020-01-07|0.0|0|0.0|0|185.0|0|7.208333333333333|0
0|2020-01-08|0.0|0|0.0|0|208.54166666666666|0|6.645833333333333|0
0|2020-01-09|0.0|0|0.0|0|185.0|0|10.916666666666666|0
0|2020-01-10|0.0|0|0.0|0|168.75|0|10.5|0
0|2020-01-11|0.0|0|0.0|0|151.11111111111111|0|5.833333333333333|0
0|2020-01-12|0.0|0|0.0|0|247.5|0|8.625|0
0|2020-01-13|0.0|0|0.0|0|161.66666666666666|0|8.833333333333334|0
0|2020-01-14|0.0|0|0.0|0|116.66666666666667|0|7.229166666666667|0
0|2020-01-15|0.0|0|0.0|0|108.75|0|8.5|0
0|2020-01-16|0.0|0|0.0|0|121.25|0|2.9166666666666665|0
0|2020-01-17|0.0|0|0.0|0|194.30555555555557|0|12.715277777777777|0
0|2020-01-18|0.0|0|0.0|0|125.41666666666667|0|7.666666666666667|0
0|2020-01-19|0.0|0|0.0|0|130.83333333333334|0|3.75|0
0|2020-01-20|0.0|0|0.0|0|108.75|0|2.8333333333333335|0
0|2020-01-21|0.0|0|0.0|0|112.5|0|2.6666666666666665|0
0|2020-01-22|0.0|0|0.0|0|205.83333333333334|0|8.0625|0
0|2020-01-23|0.0|0|0.0|0|109.16666666666667|0|3.0|0
0|2020-01-24|0.0|0|0.0|0|115.83333333333333|0|5.791666666666667|0
0|2020-01-25|0.0|0|0.0|0|135.41666666666666|0|6.5|0
0|2020-01-26|0.0|0|0.0|0|130.83333333333334|0|3.1666666666666665|0
0|2020-01-27|0.0|0|0.003263888888888889|0|105.4861111111111|0|5.954861111111111|0
0|2020-01-28|0.004583333333333333|0|0.0|0|118.47222222222221|0|3.0833333333333335|0
0|2020-01-29|0.0|0|0.0|0|161.25|0|3.75|0
0|2020-01-30|0.0|0|0.0|0|132.29166666666666|0|9.354166666666666|0
0|2020-01-31|0.0|0|0.0|0|186.25|0|5.895833333333333|0
0|2020-02-01|0.0|0|0.0|0|235.83333333333334|0|12.416666666666666|0
0|2020-02-02|0.0|0|0.0|0|215.83333333333334|0|8.375|0
0|2020-02-03|0.0|0|0.0013055555555555555|0|101.81944444444444|0|11.154166666666667|0
0|2020-02-04|0.0020833333333333333|0|0.0004166666666666667|0|142.56944444444446|0|6.607638888888888|0
0|2020-02-05|0.00010416666666666667|0|0.0|0|171.45833333333334|0|4.420138888888888|0
0|2020-02-06|0.0|0|0.0017708333333333332|0|84.27083333333333|0|4.097222222222222|0
0|2020-02-07|0.006666666666666667|0|0.0032361111111111115|0|116.84722222222221|0|4.550694444444445|0
0|2020-02-08|0.0003333333333333333|0|0.0|0|156.97916666666666|0|4.414583333333334|0
0|2020-02-09|0.0|0|0.0|0|95.13888888888887|0|6.006944444444444|0
0|2020-02-10|0.0|0|0.005472222222222222|0|78.15277777777777|0|6.891666666666668|0
0|2020-02-11|0.010416666666666666|0|0.001597222222222222|0|138.40277777777777|0|5.9930555555555545|0
0|2020-02-12|0.0|0|0.0|0|158.86111111111111|0|7.383333333333333|0
0|2020-02-13|0.0|0|0.0|0|98.98611111111113|0|6.1000000000000005|0
0|2020-02-14|0.0|0|0.0|0|195.20833333333334|0|5.708333333333333|0
0|2020-02-15|0.0|0|0.0|0|192.91666666666666|0|7.833333333333333|0
0|2020-02-16|0.0|0|0.0|0|167.70833333333334|0|4.416666666666667|0
0|2020-02-17|0.0|0|0.0004166666666666667|0|152.91666666666666|0|10.104166666666666|0
0|2020-02-18|0.0011111111111111111|0|0.002847222222222222|0|101.52777777777779|0|5.954861111111111|0
0|2020-02-19|0.0008333333333333334|0|0.0007291666666666667|0|126.3611111111111|0|10.36111111111111|0
0|2020-02-20|0.002916666666666667|0|0.0012777777777777779|0|112.46825396825398|0|3.6101190476190474|0
0|2020-02-21|0.0|0|0.0|0|175.0|0|3.4166666666666665|0
0|2020-02-22|0.0|0|0.0|0|164.58333333333334|0|6.083333333333333|0
0|2020-02-23|0.0|0|0.0|0|280.1388888888889|0|12.319444444444445|0
0|2020-02-24|0.0|0|0.0|0|275.8333333333333|0|13.395833333333334|0
0|2020-02-25|0.0|0|0.0|0|165.0|0|17.458333333333332|0
0|2020-02-26|0.0|0|0.0|0|93.75|0|3.2916666666666665|0
0|2020-02-27|0.0|0|0.0|0|145.41666666666666|0|4.916666666666667|0
0|2020-02-28|0.0|0|0.0|0|179.58333333333334|0|6.375|0
0|2020-02-29|0.0|0|0.0|0|192.08333333333334|0|6.75|0
0|2020-03-01|0.0|0|0.0|0|143.33333333333334|0|11.0625|0
0|2020-03-02|0.0001388888888888889|0|0.0001388888888888889|0|157.5|0|9.305555555555555|0
0|2020-03-03|0.0|0|0.0|0|112.91666666666667|0|6.625|0
0|2020-03-04|0.0|0|0.0|0|209.16666666666666|0|8.041666666666666|0
0|2020-03-05|0.0|0|0.0|0|127.70833333333333|0|9.166666666666666|0
0|2020-03-06|0.0|0|0.0|0|152.08333333333334|0|5.291666666666667|0
0|2020-03-07|0.0|0|0.0|0|165.83333333333334|0|6.5|0
0|2020-03-08|0.0|0|0.0|0|154.58333333333334|0|9.4375|0
0|2020-03-09|0.0|0|0.0|0|114.58333333333333|0|9.291666666666666|0
0|2020-03-10|0.0|0|0.0|0|207.08333333333334|0|6.375|0
0|2020-03-11|0.0|0|0.0|0|196.66666666666666|0|7.208333333333333|0
0|2020-03-12|0.0|0|0.0|0|190.41666666666666|0|15.291666666666666|0
0|2020-03-13|0.0|0|0.0031944444444444446|0|97.84722222222221|0|13.496527777777779|0
0|2020-03-14|0.004583333333333333|0|0.0|0|116.04166666666664|0|7.763888888888889|0
0|2020-03-15|0.0|0|0.0|0|74.52777777777779|0|4.163888888888889|0
0|2020-03-16|0.0|0|0.0|0|166.84722222222223|0|9.96111111111111|0
0|2020-03-17|0.0|0|0.0|0|136.04513888888889|0|7.365624999999999|0
