|dates|Carroll_Indiana_UnitedStates.BLS_EmployedPopulation.data|Carroll_Indiana_UnitedStates.BLS_EmployedPopulation.missing|Carroll_Indiana_UnitedStates.BLS_UnemployedPopulation.data|Carroll_Indiana_UnitedStates.BLS_UnemployedPopulation.missing|Carroll_Indiana_UnitedStates.BLS_UnemploymentRate.data|Carroll_Indiana_UnitedStates.BLS_UnemploymentRate.missing|Carroll_Indiana_UnitedStates.BLS_LaborForcePopulation.data|Carroll_Indiana_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-02|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-03|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-04|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-05|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-06|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-07|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-08|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-09|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-10|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-11|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-12|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-13|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-14|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-15|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-16|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-17|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-18|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-19|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-20|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-21|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-22|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-23|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-24|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-25|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-26|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-27|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-28|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-29|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-30|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-01-31|9788.0|0|348.0|0|3.4333070244672457|0|10136.0|0
0|2020-02-01|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-02|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-03|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-04|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-05|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-06|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-07|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-08|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-09|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-10|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-11|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-12|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-13|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-14|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-15|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-16|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-17|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-18|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-19|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-20|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-21|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-22|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-23|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-24|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-25|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-26|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-27|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
0|2020-02-28|10008.5|0|339.5|0|3.280827212988017|0|10348.0|0
