|dates|Orange_California_UnitedStates.JHU_ConfirmedCases.data|Orange_California_UnitedStates.JHU_ConfirmedCases.missing|Orange_California_UnitedStates.NYT_ConfirmedCases.data|Orange_California_UnitedStates.NYT_ConfirmedCases.missing|Orange_California_UnitedStates.JHU_ConfirmedDeaths.data|Orange_California_UnitedStates.JHU_ConfirmedDeaths.missing|Orange_California_UnitedStates.JHU_ConfirmedRecoveries.data|Orange_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-01-01|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-02|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-03|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-04|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-05|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-06|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-07|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-08|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-09|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-10|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-11|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-12|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-13|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-14|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-15|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-16|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-17|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-18|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-19|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-20|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-21|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-22|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-23|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-24|0.0|0|0.0|100|0.0|0|0.0|100
0|2020-01-25|0.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-26|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-27|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-28|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-29|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-30|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-01-31|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-01|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-02|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-03|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-04|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-05|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-06|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-07|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-08|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-09|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-10|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-11|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-12|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-13|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-14|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-15|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-16|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-17|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-18|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-19|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-20|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-21|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-22|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-23|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-24|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-25|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-26|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-27|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-28|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-02-29|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-01|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-02|1.0|0|1.0|0|0.0|0|0.0|100
0|2020-03-03|1.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-04|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-05|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-06|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-07|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-08|3.0|0|3.0|0|0.0|0|0.0|100
0|2020-03-09|4.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-10|5.0|0|5.0|0|0.0|0|0.0|100
0|2020-03-11|5.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-12|6.0|0|6.0|0|0.0|0|0.0|100
0|2020-03-13|9.0|0|13.0|0|0.0|0|0.0|100
0|2020-03-14|14.0|0|14.0|0|0.0|0|0.0|100
0|2020-03-15|14.0|0|17.0|0|0.0|0|0.0|100
0|2020-03-16|17.0|0|22.0|0|0.0|0|0.0|100
0|2020-03-17|22.0|0|29.0|0|0.0|0|0.0|100
0|2020-03-18|29.0|0|42.0|0|0.0|0|0.0|100
0|2020-03-19|53.0|0|53.0|0|0.0|0|0.0|100
0|2020-03-20|65.0|0|65.0|0|0.0|0|0.0|100
0|2020-03-21|78.0|0|78.0|0|0.0|0|0.0|100
0|2020-03-22|95.0|0|95.0|0|0.0|0|0.0|100
0|2020-03-23|125.0|0|125.0|0|0.0|0|0.0|100
0|2020-03-24|152.0|0|152.0|0|0.0|0|0.0|100
0|2020-03-25|187.0|0|187.0|0|1.0|0|0.0|100
0|2020-03-26|256.0|0|256.0|0|1.0|0|0.0|100
0|2020-03-27|321.0|0|321.0|0|3.0|0|0.0|100
0|2020-03-28|403.0|0|321.0|0|4.0|0|0.0|100
0|2020-03-29|431.0|0|431.0|0|4.0|0|0.0|100
0|2020-03-30|464.0|0|464.0|0|4.0|0|0.0|100
0|2020-03-31|502.0|0|502.0|0|7.0|0|0.0|100
0|2020-04-01|606.0|0|606.0|0|10.0|0|0.0|100
0|2020-04-02|656.0|0|656.0|0|13.0|0|0.0|100
0|2020-04-03|711.0|0|711.0|0|13.0|0|0.0|100
0|2020-04-04|786.0|0|786.0|0|14.0|0|0.0|100
0|2020-04-05|834.0|0|834.0|0|14.0|0|0.0|100
0|2020-04-06|882.0|0|882.0|0|14.0|0|0.0|100
0|2020-04-07|931.0|0|931.0|0|15.0|0|0.0|100
0|2020-04-08|1016.0|0|1016.0|0|17.0|0|0.0|100
0|2020-04-09|1079.0|0|1079.0|0|17.0|0|0.0|100
0|2020-04-10|1138.0|0|1138.0|0|17.0|0|0.0|100
0|2020-04-11|1221.0|0|1221.0|0|18.0|0|0.0|100
0|2020-04-12|1277.0|0|1277.0|0|19.0|0|0.0|100
0|2020-04-13|1283.0|0|1283.0|0|19.0|0|0.0|100
0|2020-04-14|1299.0|0|1299.0|0|19.0|0|0.0|100
0|2020-04-15|1376.0|0|1376.0|0|22.0|0|0.0|100
0|2020-04-16|1425.0|0|1425.0|0|25.0|0|0.0|100
0|2020-04-17|1501.0|0|1501.0|0|28.0|0|0.0|100
0|2020-04-18|1556.0|0|1556.0|0|32.0|0|0.0|100
0|2020-04-19|1636.0|0|1636.0|0|32.0|0|0.0|100
0|2020-04-20|1676.0|0|1676.0|0|33.0|0|0.0|100
0|2020-04-21|1691.0|0|1691.0|0|33.0|0|0.0|100
0|2020-04-22|1753.0|0|1753.0|0|34.0|0|0.0|100
0|2020-04-23|1827.0|0|1827.0|0|36.0|0|0.0|100
0|2020-04-24|1845.0|0|1845.0|0|36.0|0|0.0|100
0|2020-04-25|1969.0|0|1969.0|0|38.0|0|0.0|100
0|2020-04-26|2074.0|0|2074.0|0|39.0|0|0.0|100
0|2020-04-27|2126.0|0|2126.0|0|39.0|0|0.0|100
0|2020-04-28|2151.0|0|2198.0|0|42.0|0|0.0|100
0|2020-04-29|2252.0|0|2324.0|0|44.0|0|0.0|100
0|2020-04-30|2393.0|0|2421.0|0|45.0|0|0.0|100
0|2020-05-01|2537.0|0|2591.0|0|50.0|0|0.0|100
0|2020-05-02|2636.0|0|2660.0|0|52.0|0|0.0|100
0|2020-05-03|2743.0|0|2774.0|0|52.0|0|0.0|100
0|2020-05-04|2819.0|0|2859.0|0|57.0|0|0.0|100
0|2020-05-05|2873.0|0|2931.0|0|69.0|0|0.0|100
0|2020-05-06|3004.0|0|3041.0|0|65.0|0|0.0|100
0|2020-05-07|3092.0|0|3156.0|0|66.0|0|0.0|100
0|2020-05-08|3240.0|0|3283.0|0|71.0|0|0.0|100
0|2020-05-09|3380.0|0|3395.0|0|74.0|0|0.0|100
0|2020-05-10|3502.0|0|3506.0|0|76.0|0|0.0|100
0|2020-05-11|3557.0|0|3627.0|0|76.0|0|0.0|100
0|2020-05-12|3602.0|0|3699.0|0|77.0|0|0.0|100
