|dates|Henry_Kentucky_UnitedStates.BLS_EmployedPopulation.data|Henry_Kentucky_UnitedStates.BLS_EmployedPopulation.missing|Henry_Kentucky_UnitedStates.BLS_UnemployedPopulation.data|Henry_Kentucky_UnitedStates.BLS_UnemployedPopulation.missing|Henry_Kentucky_UnitedStates.BLS_UnemploymentRate.data|Henry_Kentucky_UnitedStates.BLS_UnemploymentRate.missing|Henry_Kentucky_UnitedStates.BLS_LaborForcePopulation.data|Henry_Kentucky_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-02|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-03|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-04|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-05|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-06|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-07|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-08|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-09|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-10|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-11|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-12|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-13|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-14|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-15|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-16|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-17|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-18|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-19|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-20|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-21|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-22|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-23|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-24|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-25|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-26|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-27|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-28|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-29|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-30|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-01-31|7956.5|0|330.0|0|3.98238098111386|0|8286.5|0
0|2020-02-01|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-02|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-03|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-04|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-05|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-06|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-07|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-08|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-09|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-10|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-11|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-12|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-13|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-14|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-15|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-16|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-17|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-18|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-19|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-20|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-21|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-22|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-23|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-24|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-25|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-26|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-27|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-28|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-02-29|7939.0|0|297.5|0|3.611971104231166|0|8236.5|0
0|2020-03-01|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-02|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-03|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-04|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-05|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-06|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-07|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-08|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-09|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-10|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-11|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-12|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-13|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-14|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-15|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-16|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
0|2020-03-17|7867.0|0|358.0|0|4.35258358662614|0|8225.0|0
