|dates|Lincoln_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lincoln_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lincoln_Colorado_UnitedStates.Male_Total_Population.data|Lincoln_Colorado_UnitedStates.Male_Total_Population.missing|Lincoln_Colorado_UnitedStates.Female_Total_Population.data|Lincoln_Colorado_UnitedStates.Female_Total_Population.missing|Lincoln_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|Lincoln_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2020-01-01|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-02|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-03|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-04|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-05|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-06|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-07|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-08|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-09|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-10|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-11|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-12|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-13|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-14|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-15|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-16|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-17|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-18|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-19|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-20|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-21|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-22|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-23|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-24|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-25|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-26|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-27|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-28|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-29|985.0|0|3277.0|0|2333.0|0|1132.0|0
0|2020-01-30|985.0|0|3277.0|0|2333.0|0|1132.0|0
