|dates|Rockbridge_Virginia_UnitedStates.BLS_EmployedPopulation.data|Rockbridge_Virginia_UnitedStates.BLS_EmployedPopulation.missing|Rockbridge_Virginia_UnitedStates.BLS_UnemployedPopulation.data|Rockbridge_Virginia_UnitedStates.BLS_UnemployedPopulation.missing|Rockbridge_Virginia_UnitedStates.BLS_UnemploymentRate.data|Rockbridge_Virginia_UnitedStates.BLS_UnemploymentRate.missing|Rockbridge_Virginia_UnitedStates.BLS_LaborForcePopulation.data|Rockbridge_Virginia_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-02|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-03|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-04|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-05|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-06|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-07|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-08|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-09|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-10|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-11|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-12|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-13|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-14|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-15|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-16|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-17|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-18|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-19|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-20|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-21|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-22|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-23|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-24|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-25|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-26|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-27|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
0|2020-01-28|10509.0|0|327.0|0|3.017718715393134|0|10836.0|0
