|dates|Campbell_SouthDakota_UnitedStates.BLS_EmployedPopulation.data|Campbell_SouthDakota_UnitedStates.BLS_EmployedPopulation.missing|Campbell_SouthDakota_UnitedStates.BLS_UnemployedPopulation.data|Campbell_SouthDakota_UnitedStates.BLS_UnemployedPopulation.missing|Campbell_SouthDakota_UnitedStates.BLS_UnemploymentRate.data|Campbell_SouthDakota_UnitedStates.BLS_UnemploymentRate.missing|Campbell_SouthDakota_UnitedStates.BLS_LaborForcePopulation.data|Campbell_SouthDakota_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-02|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-03|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-04|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-05|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-06|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-07|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-08|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-09|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-10|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-11|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-12|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-13|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-14|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-15|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-16|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-17|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-18|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-19|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-20|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-21|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
0|2020-01-22|726.5|0|29.5|0|3.9021164021164023|0|756.0|0
