|dates|Pulaski_Arkansas_UnitedStates.BLS_EmployedPopulation.data|Pulaski_Arkansas_UnitedStates.BLS_EmployedPopulation.missing|Pulaski_Arkansas_UnitedStates.BLS_UnemployedPopulation.data|Pulaski_Arkansas_UnitedStates.BLS_UnemployedPopulation.missing|Pulaski_Arkansas_UnitedStates.BLS_UnemploymentRate.data|Pulaski_Arkansas_UnitedStates.BLS_UnemploymentRate.missing|Pulaski_Arkansas_UnitedStates.BLS_LaborForcePopulation.data|Pulaski_Arkansas_UnitedStates.BLS_LaborForcePopulation.missing
0|2020-01-01|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-02|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-03|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-04|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-05|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-06|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-07|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-08|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-09|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-10|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-11|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-12|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-13|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-14|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-15|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-16|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-17|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-18|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-19|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-20|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-21|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-22|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-23|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-24|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-25|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-26|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-27|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-28|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-29|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-30|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-01-31|180624.5|0|7327.0|0|3.8983461158862793|0|187951.5|0
0|2020-02-01|181873.5|0|7349.5|0|3.8840415805689585|0|189223.0|0
0|2020-02-02|181873.5|0|7349.5|0|3.8840415805689585|0|189223.0|0
0|2020-02-03|181873.5|0|7349.5|0|3.8840415805689585|0|189223.0|0
0|2020-02-04|181873.5|0|7349.5|0|3.8840415805689585|0|189223.0|0
